feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
feature,max_value,min_value,mean_value,std_value
['dummy'],1.0,1.0,1.0,0.0
['id'],9900000190.0,1000102.0,4586741916.2963,2884365673.085879
['bedrooms'],33.0,1.0,3.3752,0.9431993214586194
['bathrooms'],7.75,0.5,2.118875,0.7650898537916968
['sqft_living'],9890.0,370.0,2080.2232,911.2887904400887
['sqft_lot'],1651359.0,572.0,15089.2014,41201.83467209486
['floors'],3.5,1.0,1.5037,0.5426198577273044
['view'],4.0,0.0,0.2294,0.7558939343585183
['sqft_above'],8860.0,370.0,1793.0993,830.8238901473104
['sqft_basement'],2720.0,0.0,287.1239,434.9835127321379
['yr_built'],2015.0,1900.0,1971.1249,29.479119728886072
['yr_renovated'],2015.0,0.0,81.2267,394.3600845764059
['zipcode'],98199.0,98001.0,98078.2931,53.515715377728064
['lat'],47.7776,47.1559,47.559814190000175,0.13864365683883237
['long'],-121.319,-122.514,-122.21328650000005,0.14139761461124442
['sqft_living15'],6110.0,460.0,1994.3261,691.8657051471695
['sqft_lot15'],871200.0,660.0,12746.3234,28239.830945110356
['price'],68.9,0.82,5.3852968169999915,3.573722410916525
